5000492	760	13550	3	12/1/2023
5000664	679	13550	3	12/1/2023
5001067	665	13550	3	12/1/2023
5001583	760	13550	3	12/1/2023
5001999	679	13550	3	12/1/2023
5002328	665	13550	3	12/1/2023
5002433	668	13550	3	12/1/2023
5002448	760	13550	3	12/1/2023
5002451	679	13550	3	12/1/2023
5002736	673	13550	3	12/1/2023
5002929	665	13550	3	12/1/2023
5003317	679	13550	3	12/1/2023
5003318	665	13550	3	12/1/2023
5003319	665	13550	3	12/1/2023
5003983	668	13550	3	12/1/2023
5004025	665	13550	3	12/1/2023
5004143	668	13550	3	12/1/2023
5004367	668	13550	3	12/1/2023
5004430	668	13550	3	12/1/2023
5004765	668	13550	3	12/1/2023
5005347	679	13550	3	12/1/2023
5000250	672	13550	3	12/1/2023
5000434	677	13550	3	12/1/2023
5000442	672	13550	3	12/1/2023
5000465	672	13550	3	12/1/2023
5000745	677	13550	3	12/1/2023
5001274	678	13550	3	12/1/2023
5001668	672	13550	3	12/1/2023
5002309	758	13550	3	12/1/2023
5002646	667	13550	3	12/1/2023
5003012	677	13550	3	12/1/2023
5003607	672	13550	3	12/1/2023
5004777	757	13550	3	12/1/2023
5004920	667	13550	3	12/1/2023
5004988	677	13550	3	12/1/2023
5005069	680	13550	3	12/1/2023
5005213	680	13550	3	12/1/2023
5005246	677	13550	3	12/1/2023
5005284	677	13550	3	12/1/2023
5005286	667	13550	3	12/1/2023
5001648	672	13550	3	12/1/2023
5001655	685	13550	3	12/1/2023
5001682	685	13550	3	12/1/2023
5002354	672	13550	3	12/1/2023
5002449	672	13550	3	12/1/2023
5002647	680	13550	3	12/1/2023
5002977	685	13550	3	12/1/2023
5003585	672	13550	3	12/1/2023
5004241	678	13550	3	12/1/2023
5004693	684	13550	3	12/1/2023
5004697	677	13550	3	12/1/2023
5004740	757	13550	3	12/1/2023
5004794	677	13550	3	12/1/2023
5004802	677	13550	3	12/1/2023
5001675	671	13550	3	12/1/2023
5001817	671	13550	3	12/1/2023
5002759	671	13550	3	12/1/2023
5000996	671	13550	3	12/1/2023
5001073	671	13550	3	12/1/2023
5001293	671	13550	3	12/1/2023
5001297	671	13550	3	12/1/2023
5001986	671	13550	3	12/1/2023
5002076	671	13550	3	12/1/2023
5002223	671	13550	3	12/1/2023
5002483	671	13550	3	12/1/2023
5002556	671	13550	3	12/1/2023
5003557	671	13550	3	12/1/2023
5003704	666	13550	3	12/1/2023
5003860	671	13550	3	12/1/2023
5004929	667	13550	3	12/1/2023
5004949	671	13550	3	12/1/2023
5005215	667	13550	3	12/1/2023
5000474	671	13550	3	12/1/2023
5000887	671	13550	3	12/1/2023
5001427	671	13550	3	12/1/2023
5001650	671	13550	3	12/1/2023
5001898	671	13550	3	12/1/2023
5002031	671	13550	3	12/1/2023
5002205	671	13550	3	12/1/2023
5002595	671	13550	3	12/1/2023
5002816	671	13550	3	12/1/2023
5002822	667	13550	3	12/1/2023
5002921	671	13550	3	12/1/2023
5002952	671	13550	3	12/1/2023
5003465	671	13550	3	12/1/2023
5004008	671	13550	3	12/1/2023
5004312	667	13550	3	12/1/2023
5004857	671	13550	3	12/1/2023
5004878	671	13550	3	12/1/2023
5004906	671	13550	3	12/1/2023
5005039	666	13550	3	12/1/2023
5005449	671	13550	3	12/1/2023
5005454	671	13550	3	12/1/2023
5005462	671	13550	3	12/1/2023
5005527	671	13550	3	12/1/2023
5000307	671	13550	3	12/1/2023
5000333	671	13550	3	12/1/2023
5002098	671	13550	3	12/1/2023
5002520	671	13550	3	12/1/2023
5003094	671	13550	3	12/1/2023
5004085	671	13550	3	12/1/2023
5004356	667	13550	3	12/1/2023
5004572	671	13550	3	12/1/2023
5005019	666	13550	3	12/1/2023
5005241	671	13550	3	12/1/2023
5005438	671	13550	3	12/1/2023
5000303	671	13550	3	12/1/2023
5000374	671	13550	3	12/1/2023
5000475	671	13550	3	12/1/2023
5000515	671	13550	3	12/1/2023
5000542	671	13550	3	12/1/2023
5000758	671	13550	3	12/1/2023
5000936	671	13550	3	12/1/2023
5001823	671	13550	3	12/1/2023
